SYNPCC7942_2569-MONOMER	SYNPCC7942_2569	Q31K20	orotidine 5'-phosphate decarboxylase	PyrF
SYNPCC7942_0456-MONOMER	SYNPCC7942_0456	Q79AV1	PsbK	photosystem II PsbK protein
SYNPCC7942_0455-MONOMER	SYNPCC7942_0455	Q8GAA6	Queuine tRNA-ribosyltransferase	Tgt
SYNPCC7942_0454-MONOMER	SYNPCC7942_0454	Q8GMS2	cobalamin 5'-phosphate synthase	CobS
SYNPCC7942_0453-MONOMER	SYNPCC7942_0453	Q31R34	two-component sensor histidine kinase	
SYNPCC7942_0452-MONOMER	SYNPCC7942_0452	Q31R35	conserved hypothetical protein	
SYNPCC7942_0451-MONOMER	SYNPCC7942_0451	Q8GMR9	esterase	
SYNPCC7942_0450-MONOMER	SYNPCC7942_0450	Q8GMR8	putative NifU-like protein	
SYNPCC7942_0449-MONOMER	SYNPCC7942_0449	Q8GMR7	seryl-tRNA synthetase	SerS
SYNPCC7942_0448-MONOMER	SYNPCC7942_0448	Q31R39	Peptidase M50, putative membrane-associated zinc metallopeptidase	
SYNPCC7942_0447-MONOMER	SYNPCC7942_0447	Q8GMR5	endonuclease III	
SYNPCC7942_0446-MONOMER	SYNPCC7942_0446	Q79AV0	30S ribosomal subunit protein S14	RpsN
SYNPCC7942_0445-MONOMER	SYNPCC7942_0445	Q8GAA5	ABC-type dipeptide/oligopeptide/nickel transport systems permease components-like	
SYNPCC7942_0444-MONOMER	SYNPCC7942_0444	Q8GAA4	conserved hypothetical protein	
SYNPCC7942_0443-MONOMER	SYNPCC7942_0443	Q8GMR4	conserved hypothetical protein	
SYNPCC7942_0442-MONOMER	SYNPCC7942_0442	Q31R45	ammonium transporter	
SYNPCC7942_0441-MONOMER	SYNPCC7942_0441	Q8GMR3	phosphoribosylaminoimidazole carboxylase, catalytic subunit	
SYNPCC7942_0440-MONOMER	SYNPCC7942_0440	Q31R47	N-acetylglucosamine-6-phosphate deacetylase	NagA
SYNPCC7942_0439-MONOMER	SYNPCC7942_0439	Q31R48	magnesium protoporphyrin O-methyltransferase	ChlM
SYNPCC7942_0438-MONOMER	SYNPCC7942_0438	Q31R49	hypothetical protein	
SYNPCC7942_0437-MONOMER	SYNPCC7942_0437	Q8GMQ9	putative glutathione peroxidase	
SYNPCC7942_0436-MONOMER	SYNPCC7942_0436	Q8GMQ8	hypothetical protein	
SYNPCC7942_0435-MONOMER	SYNPCC7942_0435	Q31R52	conserved hypothetical protein	
SYNPCC7942_0434-MONOMER	SYNPCC7942_0434	Q8GMQ6	conserved hypothetical protein	
SYNPCC7942_0433-MONOMER	SYNPCC7942_0433	Q8GMQ5	conserved hypothetical protein	
SYNPCC7942_0432-MONOMER	SYNPCC7942_0432	Q8GAA2	D-alanyl-D-alanine dipeptidase	DpdX
SYNPCC7942_0431-MONOMER	SYNPCC7942_0431	Q31R56	conserved hypothetical protein	
SYNPCC7942_0430-MONOMER	SYNPCC7942_0430	Q8GAA0	deoxyxylulose-5-phosphate synthase	Dxs
SYNPCC7942_0429-MONOMER	SYNPCC7942_0429	Q31R58	conserved hypothetical protein	
SYNPCC7942_0428-MONOMER	SYNPCC7942_0428	Q8GA98	2-isopropylmalate synthase	
SYNPCC7942_0427-MONOMER	SYNPCC7942_0427	Q8GMQ4	ATPase	
SYNPCC7942_0426-MONOMER	SYNPCC7942_0426	Q8GMQ3	condensin subunit ScpB	ScpB
SYNPCC7942_0425-MONOMER	SYNPCC7942_0425	Q8GMQ2	conserved hypothetical protein	
SYNPCC7942_0424-MONOMER	SYNPCC7942_0424	P04996	D1 protein	photosystem II D1 protein
SYNPCC7942_0423-MONOMER	SYNPCC7942_0423	Q31R64	conserved hypothetical protein	
SYNPCC7942_0422-MONOMER	SYNPCC7942_0422	Q31R65	conserved hypothetical protein	
SYNPCC7942_0421-MONOMER	SYNPCC7942_0421	Q31R66	hypothetical protein	
SYNPCC7942_0420-MONOMER	SYNPCC7942_0420	Q31R67	conserved hypothetical protein	
SYNPCC7942_0419-MONOMER	SYNPCC7942_0419	Q31R68	biotin synthase	BioB
SYNPCC7942_0418-MONOMER	SYNPCC7942_0418	Q31R69	conserved hypothetical protein	
SYNPCC7942_0417-MONOMER	SYNPCC7942_0417	Q31R70	ATPase	
SYNPCC7942_0416-MONOMER	SYNPCC7942_0416	Q31R71	conserved hypothetical protein	
SYNPCC7942_0415-MONOMER	SYNPCC7942_0415	Q31R72	conserved hypothetical protein	
SYNPCC7942_0414-MONOMER	SYNPCC7942_0414	Q31R73	conserved hypothetical protein	
SYNPCC7942_0413-MONOMER	SYNPCC7942_0413	Q31R74	NADH dehydrogenase I subunit L	NdhL
SYNPCC7942_0412-MONOMER	SYNPCC7942_0412	Q31R75	hypothetical protein	
SYNPCC7942_0411-MONOMER	SYNPCC7942_0411	Q31R76	tryptophan synthase, alpha subunit	TrpA
SYNPCC7942_0410-MONOMER	SYNPCC7942_0410	Q31R77	conserved hypothetical protein	
SYNPCC7942_0409-MONOMER	SYNPCC7942_0409	Q31R78	hypothetical protein	
SYNPCC7942_0408-MONOMER	SYNPCC7942_0408	Q31R79	Phosphoribosylanthranilate isomerase	TrpF
SYNPCC7942_0407-MONOMER	SYNPCC7942_0407	Q31R80	PsaK	photosystem I reaction center subunit X
SYNPCC7942_0406-MONOMER	SYNPCC7942_0406	Q31R81	conserved hypothetical protein	
SYNPCC7942_0405-MONOMER	SYNPCC7942_0405	Q31R82	DNA polymerase III, delta subunit	HolA
SYNPCC7942_0404-MONOMER	SYNPCC7942_0404	Q31R83	peptide chain release factor 2	PrfB
SYNPCC7942_0403-MONOMER	SYNPCC7942_0403	Q31R84	conserved hypothetical protein	
SYNPCC7942_0402-MONOMER	SYNPCC7942_0402	Q31R85	Protein of unknown function UPF0054	
SYNPCC7942_0401-MONOMER	SYNPCC7942_0401	Q31R86	Diacylglycerol kinase	DgkA
SYNPCC7942_0400-MONOMER	SYNPCC7942_0400	Q31R87	Anthranilate synthase, component II	TrpG
SYNPCC7942_0399-MONOMER	SYNPCC7942_0399	Q31R88	conserved hypothetical protein	
SYNPCC7942_0398-MONOMER	SYNPCC7942_0398	Q31R89	hypothetical protein	
SYNPCC7942_0397-MONOMER	SYNPCC7942_0397	Q31R90	putative neutral invertase	
SYNPCC7942_0396-MONOMER	SYNPCC7942_0396	Q31R91	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	PurH
SYNPCC7942_0395-MONOMER	SYNPCC7942_0395	Q31R92	hypothetical protein	
SYNPCC7942_0394-MONOMER	SYNPCC7942_0394	Q31R93	phosphatidate cytidylyltransferase	CdsA
SYNPCC7942_0393-MONOMER	SYNPCC7942_0393	Q31R94	conserved hypothetical protein	
SYNPCC7942_0392-MONOMER	SYNPCC7942_0392	Q31R95		MoeB
SYNPCC7942_0391-MONOMER	SYNPCC7942_0391	Q31R96	conserved hypothetical protein	
SYNPCC7942_0390-MONOMER	SYNPCC7942_0390	Q31R97	Chromate transporter	
SYNPCC7942_0389-MONOMER	SYNPCC7942_0389	Q31R98	hypothetical protein	
SYNPCC7942_0388-MONOMER	SYNPCC7942_0388	Q31R99	probable glycosyltransferase	
SYNPCC7942_0387-MONOMER	SYNPCC7942_0387	Q31RA0	Protein of unknown function UPF0079	
SYNPCC7942_0386-MONOMER	SYNPCC7942_0386	Q31RA1	conserved hypothetical protein	
SYNPCC7942_0385-MONOMER	SYNPCC7942_0385	Q31RA2	geranylgeranyl reductase	ChlP
SYNPCC7942_0384-MONOMER	SYNPCC7942_0384	Q31RA3	hypothetical protein	
SYNPCC7942_0383-MONOMER	SYNPCC7942_0383	Q31RA4	hypothetical protein	
SYNPCC7942_0382-MONOMER	SYNPCC7942_0382	Q31RA5	conserved hypothetical protein	
SYNPCC7942_0381-MONOMER	SYNPCC7942_0381	Q31RA6	conserved hypothetical protein	
SYNPCC7942_0380-MONOMER	SYNPCC7942_0380	Q31RA7	conserved hypothetical protein	
SYNPCC7942_0379-MONOMER	SYNPCC7942_0379	Q31RA8	conserved hypothetical protein	
SYNPCC7942_0378-MONOMER	SYNPCC7942_0378	Q31RA9	Protein of unknown function DUF140	
SYNPCC7942_0377-MONOMER	SYNPCC7942_0377	Q31RB0	conserved hypothetical protein	
SYNPCC7942_0376-MONOMER	SYNPCC7942_0376	Q31RB1	putative zinc protease protein	
SYNPCC7942_0375-MONOMER	SYNPCC7942_0375	Q31RB2	processing protease	
SYNPCC7942_0374-MONOMER	SYNPCC7942_0374	Q31RB3	hypothetical protein	
SYNPCC7942_0373-MONOMER	SYNPCC7942_0373	Q31RB4	conserved hypothetical protein	
SYNPCC7942_0372-MONOMER	SYNPCC7942_0372	Q31RB5	conserved hypothetical protein	
SYNPCC7942_0371-MONOMER	SYNPCC7942_0371	Q31RB6	homoserine O-succinyltransferase	MetA
SYNPCC7942_0370-MONOMER	SYNPCC7942_0370	Q31RB7	O-acetylhomoserine/O-acetylserine sulfhydrylase	MetY
SYNPCC7942_0369-MONOMER	SYNPCC7942_0369	Q31RB8	putative flavin-containing monoamine oxidase	
SYNPCC7942_0368-MONOMER	SYNPCC7942_0368	Q31RB9	exodeoxyribonuclease VII, large subunit	XseA
SYNPCC7942_0367-MONOMER	SYNPCC7942_0367	Q31RC0	Na+-dependent transporter-like	
SYNPCC7942_0366-MONOMER	SYNPCC7942_0366	Q31RC1	putative sulfate transporter	LtnT
SYNPCC7942_0365-MONOMER	SYNPCC7942_0365	Q31RC2	response regulator receiver domain protein (CheY-like)	
SYNPCC7942_0364-MONOMER	SYNPCC7942_0364	Q31RC3	hypothetical protein	
SYNPCC7942_0363-MONOMER	SYNPCC7942_0363	Q31RC4	conserved hypothetical protein	
SYNPCC7942_0362-MONOMER	SYNPCC7942_0362	Q31RC5	conserved hypothetical protein	
SYNPCC7942_0361-MONOMER	SYNPCC7942_0361	Q6BBK3	conserved hypothetical protein	
SYNPCC7942_0360-MONOMER	SYNPCC7942_0360	Q31RC7	conserved hypothetical protein	
SYNPCC7942_0359-MONOMER	SYNPCC7942_0359	Q31RC8	conserved hypothetical protein	
SYNPCC7942_0358-MONOMER	SYNPCC7942_0358	P72546	bicarbonate transport induction protein	
SYNPCC7942_0357-MONOMER	SYNPCC7942_0357	P72547	inorganic carbon transporter	IctB
SYNPCC7942_0356-MONOMER	SYNPCC7942_0356	Q31RD1	conserved hypothetical protein YCF33	
SYNPCC7942_0355-MONOMER	SYNPCC7942_0355	Q31RD2	ribosome-binding factor A	RbfA
SYNPCC7942_0354-MONOMER	SYNPCC7942_0354	Q31RD3	Beta-glucosidase-related glycosidases-like	
SYNPCC7942_0353-MONOMER	SYNPCC7942_0353	Q31RD4	Na+-dependent transporter-like	
SYNPCC7942_0352-MONOMER	SYNPCC7942_0352	Q31RD5	Methionine sulfoxide reductase B	
SYNPCC7942_0351-MONOMER	SYNPCC7942_0351	Q31RD6	putative ABC transport system substrate-binding protein	
SYNPCC7942_0350-MONOMER	SYNPCC7942_0350	Q31RD7	ATPase	
SYNPCC7942_0349-MONOMER	SYNPCC7942_0349	Q31RD8	conserved hypothetical protein	
SYNPCC7942_0348-MONOMER	SYNPCC7942_0348	Q31RD9	recA protein	RecA
SYNPCC7942_0347-MONOMER	SYNPCC7942_0347	Q31RE0	conserved hypothetical protein	
SYNPCC7942_0346-MONOMER	SYNPCC7942_0346	Q31RE1	Protein of unknown function DUF152	
SYNPCC7942_0345-MONOMER	SYNPCC7942_0345	Q31RE2	Biotin--acetyl-CoA-carboxylase ligase	BirA
SYNPCC7942_0344-MONOMER	SYNPCC7942_0344	Q31RE3	probable peptidase	
SYNPCC7942_0343-MONOMER	SYNPCC7942_0343	Q31RE4	photosystem II 11 kD protein	
SYNPCC7942_0342-MONOMER	SYNPCC7942_0342	Q31RE5	hypothetical protein	
SYNPCC7942_0341-MONOMER	SYNPCC7942_0341	Q31RE6	hypothetical protein	
SYNPCC7942_0340-MONOMER	SYNPCC7942_0340	Q31RE7	conserved hypothetical protein	
SYNPCC7942_0339-MONOMER	SYNPCC7942_0339	Q31RE8	conserved hypothetical protein	
SYNPCC7942_0338-MONOMER	SYNPCC7942_0338	Q31RE9	Ferredoxin (2Fe-2S)	
SYNPCC7942_0337-MONOMER	SYNPCC7942_0337	Q31RF0	ATP synthase F1, &gamma; subunit	AtpG
SYNPCC7942_0336-MONOMER	SYNPCC7942_0336	Q31RF1	ATP synthase F1, &alpha; subunit	AtpA
SYNPCC7942_0335-MONOMER	SYNPCC7942_0335	Q31RF2	ATP synthase F1, &delta; subunit	AtpH
SYNPCC7942_0334-MONOMER	SYNPCC7942_0334	Q31RF3	ATP synthase Fo, b subunit	AtpF
SYNPCC7942_0333-MONOMER	SYNPCC7942_0333	Q31RF4	ATP synthase Fo, b' subunit	
SYNPCC7942_0332-MONOMER	SYNPCC7942_0332	Q31RF5	ATP synthase Fo, c subunit	AtpE
SYNPCC7942_0331-MONOMER	SYNPCC7942_0331	Q31RF6	ATP synthase Fo, a subunit	AtpB
SYNPCC7942_0330-MONOMER	SYNPCC7942_0330	Q31RF7	hypothetical protein	
SYNPCC7942_0329-MONOMER	SYNPCC7942_0329	Q31RF8	conserved hypothetical protein	
SYNPCC7942_0328-MONOMER	SYNPCC7942_0328	Q31RF9	phycobilisome core-membrane linker polypeptide	ApcE
SYNPCC7942_0327-MONOMER	SYNPCC7942_0327	Q31RG0	allophycocyanin &alpha; subunit	ApcA
SYNPCC7942_0326-MONOMER	SYNPCC7942_0326	Q31RG1	allophycocyanin, &beta; subunit	ApcB
SYNPCC7942_0325-MONOMER	SYNPCC7942_0325	Q31RG2	Lc 7.8 apoprotein (core components of the phycobilisomes)	ApcC
SYNPCC7942_0324-MONOMER	SYNPCC7942_0324	Q31RG3	cell division protein FtsW	FtsW
SYNPCC7942_0323-MONOMER	SYNPCC7942_0323	Q31RG4	cytochrome c biogenesis protein	
SYNPCC7942_0322-MONOMER	SYNPCC7942_0322	Q31RG5	c-type cytochrome biogenesis protein	ResB
SYNPCC7942_0321-MONOMER	SYNPCC7942_0321	P0A3F4	nitrogen regulatory protein P-II	GlnB, GlnK
SYNPCC7942_0320-MONOMER	SYNPCC7942_0320	Q31RG7	UDP-glucose 4-epimerase	GalE
SYNPCC7942_0319-MONOMER	SYNPCC7942_0319	Q31RG8	hemolysin A	HlyA
SYNPCC7942_0318-MONOMER	SYNPCC7942_0318	Q31RG9	conserved hypothetical protein	
SYNPCC7942_0317-MONOMER	SYNPCC7942_0317	Q31RH0	conserved hypothetical protein	
SYNPCC7942_0316-MONOMER	SYNPCC7942_0316	Q31RH1	conserved hypothetical protein	
SYNPCC7942_0315-MONOMER	SYNPCC7942_0315	Q31RH2	adenylosuccinate lyase	PurB
SYNPCC7942_0314-MONOMER	SYNPCC7942_0314	Q31RH3	succinate dehydrogenase subunit C	SdhC, putative succinate dehydrogenase cytochrome b-556 subunit
SYNPCC7942_0313-MONOMER	SYNPCC7942_0313	Q31RH4	conserved hypothetical protein	
SYNPCC7942_0312-MONOMER	SYNPCC7942_0312	Q31RH5	Protein of unknown function UPF0102	
SYNPCC7942_0311-MONOMER	SYNPCC7942_0311	Q31RH6	dimethyladenosine transferase	KsgA
SYNPCC7942_0310-MONOMER	SYNPCC7942_0310	Q31RH7	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	IspE
SYNPCC7942_0309-MONOMER	SYNPCC7942_0309	Q8VPV4	NAD(P)H dehydrogenase, subunit NdhF4	
SYNPCC7942_0308-MONOMER	SYNPCC7942_0308	Q8VPV3	CO2 hydration protein	ChpX, CupB
SYNPCC7942_0307-MONOMER	SYNPCC7942_0307	Q8VPV2	Na+/H+ antiporter	
SYNPCC7942_0306-MONOMER	SYNPCC7942_0306	Q31RI1	hypothetical protein	
SYNPCC7942_0305-MONOMER	SYNPCC7942_0305	Q31RI2	hypothetical protein	
SYNPCC7942_0304-MONOMER	SYNPCC7942_0304	Q31RI3	conserved hypothetical protein	
SYNPCC7942_0303-MONOMER	SYNPCC7942_0303	Q31RI4	response regulator receiver domain protein (CheY-like)	
SYNPCC7942_0302-MONOMER	SYNPCC7942_0302	Q31RI5	Phospholipase D/Transphosphatidylase	Cls
SYNPCC7942_0301-MONOMER	SYNPCC7942_0301	Q31RI6	single-strand binding protein	Ssb
SYNPCC7942_0300-MONOMER	SYNPCC7942_0300	Q31RI7	cell shape determining protein, MreB/Mrl family	
SYNPCC7942_0299-MONOMER	SYNPCC7942_0299	Q31RI8	rod shape-determining protein MreC	MreC
SYNPCC7942_0298-MONOMER	SYNPCC7942_0298	Q31RI9	hypothetical protein	
SYNPCC7942_0297-MONOMER	SYNPCC7942_0297	Q31RJ0	ATP-dependent metalloprotease FtsH	
SYNPCC7942_0296-MONOMER	SYNPCC7942_0296	Q31RJ1	conserved hypothetical protein	
SYNPCC7942_0295-MONOMER	SYNPCC7942_0295	Q31RJ2	sulfate adenylyltransferase	Sat
SYNPCC7942_0294-MONOMER	SYNPCC7942_0294	P11472	PsbO	WoxA, photosystem II manganese-stabilizing polypeptide
SYNPCC7942_0293-MONOMER	SYNPCC7942_0293	Q31RJ4	conserved hypothetical protein	
SYNPCC7942_0292-MONOMER	SYNPCC7942_0292	Q31RJ5	phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase	
SYNPCC7942_0291-MONOMER	SYNPCC7942_0291	Q31RJ6	conserved hypothetical protein	
SYNPCC7942_0290-MONOMER	SYNPCC7942_0290	Q31RJ7	dihydroorotate dehydrogenase (quinone)	PyrD
SYNPCC7942_0289-MONOMER	SYNPCC7942_0289	Q55357	preprotein translocase, SecA subunit	SecA
SYNPCC7942_0288-MONOMER	SYNPCC7942_0288	Q31RJ9	UDP-N-acetylglucosamine pyrophosphorylase	GlmU
SYNPCC7942_0287-MONOMER	SYNPCC7942_0287	Q31RK0	hypothetical protein	
SYNPCC7942_0286-MONOMER	SYNPCC7942_0286	Q31RK1	conserved hypothetical protein	
SYNPCC7942_0285-MONOMER	SYNPCC7942_0285	Q31RK2	carbon dioxide concentrating mechanism protein CcmK	
SYNPCC7942_0284-MONOMER	SYNPCC7942_0284	Q31RK3	carbon dioxide concentrating mechanism protein CcmK	
SYNPCC7942_0283-MONOMER	SYNPCC7942_0283	Q31RK4	Dihydrouridine synthase TIM-barrel protein nifR3	DusB
SYNPCC7942_0282-MONOMER	SYNPCC7942_0282	Q31RK5	Glycine hydroxymethyltransferase	GlyA
SYNPCC7942_0281-MONOMER	SYNPCC7942_0281	Q31RK6	probable glycosyltransferase	
SYNPCC7942_0280-MONOMER	SYNPCC7942_0280	Q31RK7	Competence-damaged protein	CinA
SYNPCC7942_0279-MONOMER	SYNPCC7942_0279	Q31RK8	NAD-reducing hydrogenase &alpha; subunit	HoxF
SYNPCC7942_0278-MONOMER	SYNPCC7942_0278	Q31RK9	NAD-reducing hydrogenase HoxS &epsilon; subunit	HoxE
SYNPCC7942_0277-MONOMER	SYNPCC7942_0277	Q31RL0	DNA ligase, NAD-dependent	LigA
SYNPCC7942_0276-MONOMER	SYNPCC7942_0276	Q31RL1	glycolate oxidase subunit GlcD	GlcD
SYNPCC7942_0275-MONOMER	SYNPCC7942_0275	Q31RL2	conserved hypothetical protein	
SYNPCC7942_0274-MONOMER	SYNPCC7942_0274	Q31RL3	conserved hypothetical protein	
SYNPCC7942_0273-MONOMER	SYNPCC7942_0273	Q31RL4	Dephospho-CoA kinase	CoaE
SYNPCC7942_0272-MONOMER	SYNPCC7942_0272	P42452		HemD
SYNPCC7942_0271-MONOMER	SYNPCC7942_0271	P42451	uroporphyrin-III C-methyltransferase	
SYNPCC7942_0270-MONOMER	SYNPCC7942_0270	P42460	TPR repeat	
SYNPCC7942_0269-MONOMER	SYNPCC7942_0269	Q31RL8	conserved hypothetical protein	
SYNPCC7942_0268-MONOMER	SYNPCC7942_0268	Q31RL9	hypothetical protein	
SYNPCC7942_0267-MONOMER	SYNPCC7942_0267	Q31RM0	Ribosomal RNA small subunit methyltransferase G	RsmG
SYNPCC7942_0266-MONOMER	SYNPCC7942_0266	Q31RM1	heat shock protein DnaJ-4	
SYNPCC7942_0265-MONOMER	SYNPCC7942_0265	Q31RM2	conserved hypothetical protein	
SYNPCC7942_0264-MONOMER	SYNPCC7942_0264	Q31RM3	undecaprenyl diphosphate synthase	UppS
SYNPCC7942_0263-MONOMER	SYNPCC7942_0263	Q31RM4	Protein of unknown function DUF147	
SYNPCC7942_0262-MONOMER	SYNPCC7942_0262	Q31RM5	diaminopimelate decarboxylase	LysA
SYNPCC7942_0261-MONOMER	SYNPCC7942_0261	Q31RM6	ribosomal-protein-alanine acetyltransferase	RimI
SYNPCC7942_0260-MONOMER	SYNPCC7942_0260	Q31RM7	ClpC	
SYNPCC7942_0259-MONOMER	SYNPCC7942_0259	Q31RM8	conserved hypothetical protein	
SYNPCC7942_0258-MONOMER	SYNPCC7942_0258	Q31RM9	conserved hypothetical protein	
SYNPCC7942_0257-MONOMER	SYNPCC7942_0257	Q31RN0	Protein of unknown function DUF92, transmembrane	
SYNPCC7942_0256-MONOMER	SYNPCC7942_0256	Q31RN1	Peptidase M20D, amidohydrolase	
SYNPCC7942_0255-MONOMER	SYNPCC7942_0255	Q31RN2	ATPase	
SYNPCC7942_0254-MONOMER	SYNPCC7942_0254	Q31RN3	DNA gyrase, A subunit	GyrA
SYNPCC7942_0253-MONOMER	SYNPCC7942_0253	Q31RN4	conserved hypothetical protein	
SYNPCC7942_0252-MONOMER	SYNPCC7942_0252	Q31RN5	hypothetical protein	
CPLX490-3581			SphS-P<sup>his</sup>	
SYNPCC7942_0251-MONOMER	SYNPCC7942_0251	Q31RN6	DNA polymerase III, epsilon subunit	DnaQ
CPLX490-3579			NblS-P<sup>his</sup>	
SYNPCC7942_0250-MONOMER	SYNPCC7942_0250	Q31RN7	conserved hypothetical protein	
CPLX490-3575			SasA-<sup>Phis</sup>	
SYNPCC7942_0249-MONOMER	SYNPCC7942_0249	Q31RN8	ABC-type amino acid transport system, ATPase subunit	
SYNPCC7942_0248-MONOMER	SYNPCC7942_0248	Q31RN9	ABC-type amino acid transport system, permease protein	
SYNPCC7942_0247-MONOMER	SYNPCC7942_0247	Q31RP0	ABC-type amino acid transport system, permease subunit	BgtB
SYNPCC7942_0246-MONOMER	SYNPCC7942_0246	Q31RP1	ABC-type amino acid transport system, extracellular solute-binding protein	
SYNPCC7942_0245-MONOMER	SYNPCC7942_0245	Q31RP2	glyceraldehyde-3-phosphate dehydrogenase, NAD+-dependent	
SYNPCC7942_0244-MONOMER	SYNPCC7942_0244	Q31RP3		GlgP, Glg
SYNPCC7942_0243-MONOMER	SYNPCC7942_0243	Q31RP4	possible high light inducible polypeptide HliC	HliC
SYNPCC7942_0242-MONOMER	SYNPCC7942_0242	Q31RP5	K+-dependent Na+/Ca+ exchanger related-protein	
SYNPCC7942_0241-MONOMER	SYNPCC7942_0241	Q31RP6	23S rRNA (Uracil-5-)-methyltransferase	RumA
SYNPCC7942_0240-MONOMER	SYNPCC7942_0240	Q31RP7	hypothetical protein	ApcD
SYNPCC7942_0239-MONOMER	SYNPCC7942_0239	Q31RP8	cytochrome C6	soluble cytochrome f, Cytochrome c-553
SYNPCC7942_0238-MONOMER	SYNPCC7942_0238	Q31RP9	conserved hypothetical protein	
SYNPCC7942_0237-MONOMER	SYNPCC7942_0237	Q31RQ0	conserved hypothetical protein	
SYNPCC7942_0236-MONOMER	SYNPCC7942_0236	Q31RQ1	cyclic nucleotide-binding domain (cNMP-BD) protein	
SYNPCC7942_0235-MONOMER	SYNPCC7942_0235	Q31RQ2	cyclic nucleotide-binding domain (cNMP-BD) protein	
SYNPCC7942_0234-MONOMER	SYNPCC7942_0234	Q31RQ3	conserved hypothetical protein	
SYNPCC7942_0233-MONOMER	SYNPCC7942_0233	Q31RQ4	conserved hypothetical protein	
SYNPCC7942_0232-MONOMER	SYNPCC7942_0232	Q31RQ5	3-phosphoshikimate 1-carboxyvinyltransferase	AroA
SYNPCC7942_0231-MONOMER	SYNPCC7942_0231	Q31RQ6	putative acetyltransferase	
SYNPCC7942_0230-MONOMER	SYNPCC7942_0230	Q31RQ7	hypothetical protein	
SYNPCC7942_0229-MONOMER	SYNPCC7942_0229	Q31RQ8	hypothetical protein	
SYNPCC7942_0228-MONOMER	SYNPCC7942_0228	Q31RQ9	conserved hypothetical protein	
SYNPCC7942_0227-MONOMER	SYNPCC7942_0227	Q31RR0	peptidyl-tRNA hydrolase	Pth
SYNPCC7942_0226-MONOMER	SYNPCC7942_0226	Q31RR1	Sec-independent protein translocase TatA subunit	TatA, twin-arginine translocation protein, TatA/E family
SYNPCC7942_0225-MONOMER	SYNPCC7942_0225	Q31RR2	PsbH	photosystem II reaction center protein H
SYNPCC7942_0224-MONOMER	SYNPCC7942_0224	Q31RR3	PsbN	Photosystem II reaction center protein N
SYNPCC7942_0223-MONOMER	SYNPCC7942_0223	Q31RR4	hypothetical protein	
SYNPCC7942_0222-MONOMER	SYNPCC7942_0222	Q31RR5	conserved hypothetical protein	
SYNPCC7942_0221-MONOMER	SYNPCC7942_0221	Q31RR6	glucokinase	Glk
SYNPCC7942_0220-MONOMER	SYNPCC7942_0220	Q31RR7	probable cell division inhibitor MinD	MinD
SYNPCC7942_0219-MONOMER	SYNPCC7942_0219	Q31RR8	conserved hypothetical protein	
SYNPCC7942_0218-MONOMER	SYNPCC7942_0218	Q31RR9	conserved hypothetical protein	
SYNPCC7942_0217-MONOMER	SYNPCC7942_0217	Q31RS0	phosphatases-like	
SYNPCC7942_0216-MONOMER	SYNPCC7942_0216	Q31RS1	putative zinc-binding oxidoreductase	
SYNPCC7942_0215-MONOMER	SYNPCC7942_0215	Q31RS2	conserved hypothetical protein	
SYNPCC7942_0214-MONOMER	SYNPCC7942_0214	Q31RS3	conserved hypothetical protein	
SYNPCC7942_0213-MONOMER	SYNPCC7942_0213	Q31RS4	hypothetical protein	
SYNPCC7942_0212-MONOMER	SYNPCC7942_0212	Q31RS5	chorismate synthase	AroC
SYNPCC7942_0211-MONOMER	SYNPCC7942_0211	Q31RS6	cobyric acid synthase CobQ	CobQ
SYNPCC7942_0210-MONOMER	SYNPCC7942_0210	Q31RS7	conserved hypothetical protein	
SYNPCC7942_0209-MONOMER	SYNPCC7942_0209	Q31RS8	maf protein	Maf
SYNPCC7942_0208-MONOMER	SYNPCC7942_0208	Q31RS9	TPR repeat	
SYNPCC7942_0207-MONOMER	SYNPCC7942_0207	Q31RT0	hypothetical protein	
CPLX490-3590			ribosome	
SYNPCC7942_0206-MONOMER	SYNPCC7942_0206	Q31RT1	nicotinic acid phosphoribosyltransferase	PncB
CPLX490-3594			SsrA-binding protein-ssrA complex	
SYNPCC7942_0205-MONOMER	SYNPCC7942_0205	Q31RT2	nicotinamide mononucleotide adenylyltransferase	
CPLX490-3588			30S ribosomal subunit	
SYNPCC7942_0204-MONOMER	SYNPCC7942_0204	Q31RT3	conserved hypothetical protein	
CPLX490-3620			ribonuclease P	
SYNPCC7942_0203-MONOMER	SYNPCC7942_0203	Q31RT4	RibD Riboflavin-specific deaminase	RibD
CPLX490-3589			50S ribosomal subunit	
SYNPCC7942_0202-MONOMER	SYNPCC7942_0202	Q31RT5	Cbb3-type cytochrome oxidase subunit 1-like	CcoN
SYNPCC7942_0201-MONOMER	SYNPCC7942_0201	Q31RT6	cytochrome oxidase cytochrome c subunit	CcoO
SYNPCC7942_0200-MONOMER	SYNPCC7942_0200	Q31RT7	conserved hypothetical protein	
SYNPCC7942_0199-MONOMER	SYNPCC7942_0199	Q31RT8	conserved hypothetical protein	
SYNPCC7942_0198-MONOMER	SYNPCC7942_0198	Q31RT9	type 2 NADH dehydrogenase NdbC monomer	NdbC
